Accession,Title,Reference_Decision,Rule_Decision,Rule_Reason,AI_Decision,AI_Confidence,AI_Primary_Subject,AI_Reason,AI_Evidence,AI_Repeat_Decisions,Hybrid_Decision
GSE195973,Intermediate GATA3 expression renders a noncanonical ILC population in skin essential for hair follicle recycling,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Skin innate lymphoid cells (ILCs) and their role in hair follicle recycling,"The study's primary biological question is the role of skin ILCs in hair follicle recycling, with direct assays on hair follicle-associated cells and hair cycle dynamics.","Title explicitly states 'essential for hair follicle recycling' || Summary describes ILC3-like skin ILCs located close to hair follicles, migrating during hair follicle recycling to promote growth || Overall design includes scRNA-seq of skin ILCs from dorsal skin at Day 0 and Day 10 after depilation, a hair cycle synchronization method || Study investigates GATA3's role in ILCs during hair follicle recycling, a central hair biology process",include || include,include
GSE124121,"RNA-seq of human lens with cataracts, alopecia, & microdontia",exclude,exclude,标题虽提及毛发/脱发，但实验设计明确指向无关组织或疾病,exclude,0.95,cataract lens transcriptome for rare syndrome diagnosis,"Alopecia is a clinical symptom of the syndrome, but the omics experiment profiles lens tissue to diagnose cataracts, not hair biology.","Title mentions alopecia but study assays lens tissue || Summary states RNA-seq of cataract lens against donor lens || Overall design: lens transcriptome only || Alopecia is a symptom of the syndrome, not the primary subject of omics assay",exclude || exclude,exclude
GSE165314,Stem cells expand potency and alter tissue fitness by accumulating diverse epigenetic memories (scRNA-seq),include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Hair follicle stem cells and their epigenetic memory during wound repair and niche adaptation,"The study directly assays hair follicle stem cells as a primary biological subject, investigating their behavior and epigenetic memory during wound repair.","Title mentions stem cells and epigenetic memories, with scRNA-seq on skin || Summary explicitly states 'hair follicle stem cells leave their niche, migrate to repair damaged epidermis' || Overall design describes profiling homeostatic, wound-induced, and niche-adapted stem cell populations in skin",include || include,review
GSE189210,Parallel single cell multi-omics analysis of neonatal skin reveals transitional fibroblast states that restrict differentiation into distinct fates,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Neonatal skin fibroblasts including dermal papilla and adipocyte fates,"The study explicitly investigates dermal papilla fate regulation, a central hair follicle component, using single-cell multi-omics on neonatal skin.","Summary states: 'functional lineage restriction between dermal papilla and adipocytes fates are regulated by distinct chromatin landscapes' || Dermal papilla is a key hair follicle compartment || Study directly assays neonatal skin cells with scRNA-seq and scATAC-seq, including fibroblast populations relevant to hair biology",include || include,review
GSE172082,Polycomb repressive complex 2 (PRC2) function in adult hair follicle stem cells is dispensable for hair regenration,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,hair follicle stem cells,The study directly assays hair follicle stem cells to investigate their role in hair regeneration.,Title mentions 'adult hair follicle stem cells' and 'hair regenration' || Summary states 'gene regulation in adult HFSCs' || Overall design purifies HFSCs from back skin at different hair cycle stages,include || include,include
GSE134893,Transcriptome analysis of mice dermal white adipose tissue during aging,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Dermal white adipose tissue as a niche for hair follicle aging,"The study explicitly investigates dWAT as a niche regulating hair follicle aging and uses hair cycle stages (telogen/anagen) as experimental conditions, making hair biology a central focus.","Summary states dWAT is directly adjacent to hair follicle and acts as critical macroenvironmental niche of HF || Summary states dWAT directly contributes to HF aging by paracrine signals || Overall design compares dWAT transcriptome in telogen and depilation-induced anagen, linking to hair cycle",include || include,include
GSE145654,Single cell transcriptomic analysis of aging hair follicles,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Aging hair follicle stem cells and lineages,"The study directly assays hair follicle cells to investigate stem cell maintenance during aging, making it central to hair biology.","Title explicitly states 'aging hair follicles' || Summary mentions 'stem cell maintenance during aging' and uses Foxc1/Nfatc1 double knockout mice, which are relevant to hair follicle stem cell quiescence || Overall design enriches for hair follicle cells at a 3:1 ratio over interfollicular epidermis",include || include,include
GSE133648,Escape of hair follicle stem cells from a defective niche,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,hair follicle stem cells,"The study directly investigates hair follicle stem cells, a primary biological subject in hair biology.",Title: 'Escape of hair follicle stem cells from a defective niche' || Organism: Mus musculus || Data_Type: bulk RNA-seq,include || include,include
GSE133647,Transcriptome analysis of hair follcile stem cell quiescence,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cell quiescence and transcriptional regulation,"The study directly assays hair follicle stem cells to investigate the transcriptional regulation of quiescence during the hair cycle, making it a primary hair biology dataset.","Title: Transcriptome analysis of hair follicle stem cell quiescence || Summary: Hair follicle stem cells (HFSCs) can transition between active and quiescent stages during normal hair cycle or wound healing. || Summary: Study investigates transcriptional regulation network of HFSCs quiescence using control, Nfatc1 KO, Foxc1 KO, and double KO mice. || Overall Design: HFSCs isolated at anagen stage (P30) of hair cycle via FACS sorting for specific markers (e.g., CD34hi, Sca1lo).",include || include,include
GSE175990,Single cell transcriptional profile for hidradenitis suppurativa,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,exclude,0.9,hidradenitis suppurativa skin lesions,"The study focuses on hidradenitis suppurativa, a skin disease, and while hair follicles are mentioned as part of the anatomical context, the primary subject is the inflammatory skin lesions, not hair follicle biology or alopecia.","Title: Single cell transcriptional profile for hidradenitis suppurativa || Summary: HS is characterized by painful abscesses and nodules in areas with high sweat gland and hair follicle density, but the study's aim is to understand the cellular landscape of HS lesions, not hair follicle biology. || Overall_Design: scRNA-seq in lesional skin from HS patients and healthy donors, no specific hair follicle cell populations isolated or analyzed.",exclude || exclude,review
